major
Accounting
Actuarial Science
Advertising
Aerospace Engineering
African American Studies
Agribusiness
Agricultural Engineering
Agriculture
American Studies
Analytical Chemistry
Animal Science
Anthropology
Applied Mathematics
Applied Physics
Arabic
Architecture
Art Education
Art History
Artificial Intelligence
Asian Studies
Astrophysics
Automotive Engineering
Biochemistry
Bioengineering
Bioinformatics
Biology
Biomedical Engineering
Biotechnology
Botany
Broadcast Journalism
Business Administration
Business Analytics
Cell Biology
Chemical Engineering
Chemistry
Chinese
Civil Engineering
Classical Studies
Classics
Climate Science
Cloud Computing
Cognitive Science
Communication Studies
Comparative Literature
Computational Biology
Computer Engineering
Computer Graphics
Computer Information Systems
Computer Programming
Computer Science
Creative Writing
Criminal Justice
Criminology
Cultural Studies
Cybersecurity
Dance
Data Analytics
Data Science
Dietetics
Digital Arts
Digital Forensics
Digital Media
Drama
Early Childhood Education
Earth Science
Ecology
Economics
Electrical Engineering
Elementary Education
Emergency Management
Engineering Management
Engineering Physics
English
English Education
Entrepreneurship
Environmental Design
Environmental Engineering
Environmental Management
Environmental Science
Environmental Studies
Esports Management
Ethnic Studies
Exercise Science
Fashion Design
Film Studies
Film and Television Production
Finance
Financial Engineering
Fine Arts
Fisheries Science
Food Science
Forestry
French
Game Design
Game Development
Gender Studies
Genetics
Geography
Geology
Geophysics
German
Global Studies
Graphic Communication
Graphic Design
Health Administration
Health Informatics
Health Sciences
History
Homeland Security
Horticulture
Hospitality Management
Human Resource Management
Human Services
Human-Computer Interaction
Immunology
Industrial Design
Industrial Design Engineering
Industrial Engineering
Information Systems
Information Technology
Inorganic Chemistry
Intelligence Studies
Interior Design
International Business
International Development
International Relations
Italian
Japanese
Jazz Studies
Journalism
Kinesiology
Korean
Landscape Architecture
Latin
Latino/Latina Studies
Legal Studies
Linguistics
Machine Learning
Management
Management Information Systems
Marine Biology
Marketing
Materials Science and Engineering
Mathematics
Mathematics Education
Mechanical Engineering
Mechatronics Engineering
Media Production
Media Studies
Medical Laboratory Science
Meteorology
Microbiology
Middle Eastern Studies
Mobile App Development
Molecular Biology
Music
Music Composition
Music Education
Music Performance
Network Engineering
Neuroeconomics
Neuroscience
Nonprofit Management
Nuclear Engineering
Nursing
Nutrition
Occupational Therapy (Pre)
Oceanography
Operations Management
Organic Chemistry
Peace and Conflict Studies
Petroleum Engineering
Pharmacology
Philosophy
Photography
Physical Chemistry
Physical Education
Physical Therapy (Pre)
Physics
Physiology
Plant Science
Political Science
Portuguese
Pre-Dentistry
Pre-Law
Pre-Medicine
Pre-Pharmacy
Pre-Veterinary Medicine
Product Design
Psychology
Public Administration
Public Health
Public Policy
Public Relations
Quantitative Economics
Radiologic Science
Real Estate
Religious Studies
Retail Management
Risk Management and Insurance
Robotics Engineering
Russian
STEM Education
Science Education
"Science, Technology, and Society"
Screenwriting
Secondary Education
Social Media Management
Social Studies Education
Social Work
Sociology
Software Engineering
Soil Science
Spanish
Special Education
Speech-Language Pathology (Pre)
Sports Management
Statistics
Structural Engineering
Studio Art
Supply Chain Management
Sustainable Development
Systems Engineering
TESOL (Teaching English to Speakers of Other Languages)
Theatre Arts
Tourism Management
Urban Design
Urban Planning
Urban Studies
User Experience Design
Web Development
Wildlife Biology
Zoology
